Country Name,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,indicator_type,csf_id
DE,engcon,76.74,76.74,76.74,76.74,76.74,74.96,70.94,70.39,normal,easbus
IL,engcon,54.93,54.93,54.93,52.61,52.61,52.61,57.93,57.93,normal,easbus
PL,engcon,56.85,56.85,56.85,64.98,64.83,64.83,63.44,63.44,normal,easbus
SE,engcon,68.2,68.2,68.2,68.2,68,68,67.61,67.61,normal,easbus
DE,iccred,81.25,81.25,81.25,81.25,81.25,70,70,70,normal,easbus
IL,iccred,87.5,87.5,87.5,87.5,87.5,65,65,65,normal,easbus
PL,iccred,93.75,93.75,93.75,93.75,93.75,75,75,75,normal,easbus
SE,iccred,75,75,75,75,75,55,55,55,normal,easbus
DE,iccreg,80.8,81.48,81.6,81.65,81.73,81.36,82.73,83.44,normal,easbus
IL,iccreg,88.95,88.94,88.92,88.71,90.47,90.54,90.55,92.28,normal,easbus
PL,iccreg,78.47,78.54,78.62,79.04,82.52,82.56,82.71,82.75,normal,easbus
SE,iccreg,91.31,92.16,92.21,92.26,92.28,92.29,94.61,94.64,normal,easbus
DE,paytax,78.96,76.43,76.82,79.06,76.84,77.02,77,82.16,normal,easbus
IL,paytax,75.58,75.67,76.02,76.32,76.18,76.07,75.47,71.88,normal,easbus
PL,paytax,53.32,63.9,65.67,72.18,72.29,72.26,79.73,79.11,normal,easbus
SE,paytax,80.98,81.95,81.95,81.95,81.95,83.46,83.46,85.28,normal,easbus
DE,engcon,1.0000,1.0000,1.0000,1.0000,1.0000,0.9262,0.7596,0.7368,nrmlzd,easbus
IL,engcon,0.0961,0.0961,0.0961,0.0000,0.0000,0.0000,0.2205,0.2205,nrmlzd,easbus
PL,engcon,0.1757,0.1757,0.1757,0.5126,0.5064,0.5064,0.4488,0.4488,nrmlzd,easbus
SE,engcon,0.6461,0.6461,0.6461,0.6461,0.6378,0.6378,0.6216,0.6216,nrmlzd,easbus
DE,iccred,0.6774,0.6774,0.6774,0.6774,0.6774,0.3871,0.3871,0.3871,nrmlzd,easbus
IL,iccred,0.8387,0.8387,0.8387,0.8387,0.8387,0.2581,0.2581,0.2581,nrmlzd,easbus
PL,iccred,1.0000,1.0000,1.0000,1.0000,1.0000,0.5161,0.5161,0.5161,nrmlzd,easbus
SE,iccred,0.5161,0.5161,0.5161,0.5161,0.5161,0.0000,0.0000,0.0000,nrmlzd,easbus
DE,iccreg,0.1441,0.1861,0.1936,0.1967,0.2016,0.1787,0.2635,0.3074,nrmlzd,easbus
IL,iccreg,0.6481,0.6475,0.6463,0.6333,0.7421,0.7464,0.7471,0.8541,nrmlzd,easbus
PL,iccreg,0.0000,0.0043,0.0093,0.0353,0.2505,0.2529,0.2622,0.2647,nrmlzd,easbus
SE,iccreg,0.7941,0.8466,0.8497,0.8528,0.8541,0.8547,0.9981,1.0000,nrmlzd,easbus
DE,paytax,0.8023,0.7231,0.7353,0.8054,0.7359,0.7416,0.7409,0.9024,nrmlzd,easbus
IL,paytax,0.6965,0.6993,0.7103,0.7196,0.7153,0.7118,0.6931,0.5807,nrmlzd,easbus
PL,paytax,0.0000,0.3310,0.3864,0.5901,0.5936,0.5926,0.8263,0.8069,nrmlzd,easbus
SE,paytax,0.8655,0.8958,0.8958,0.8958,0.8958,0.9431,0.9431,1.0000,nrmlzd,easbus
